A-valued function,A-значная функция
Abelian group,абелевая группа
absolute convergence,абсолютная сходимость
absolute value,абсолютная величина; норма
absorption of photon,поглощение фотона
acceleration,ускорение
accelerator,ускоритель
according to theorem,согласно теореме
acute angle,острый угол
additive group,аддитивная группа
adjacent angle,смежный угол
adjoin,присоединить
adjoint group,присоединённая группа
algebra bundle,расслоенная алгебра
algebraic,алгебраический
algebraic complement of matrix,алгебраическое дополнение матрицы
algebraic extension,алгебраическое расширение
amplitude,амплитуда
analytic function,аналитическая функция
angle,угол
angle of incidence,угол падения
angle of reﬂection,угол отражения
angle of refraction,угол преломления
angular momentum,момент количества движения
anholonomic coordinates,неголономные координаты
anholonomity,неголономность
anholonomity object,объект неголономности
annihilation operator,оператор уничтожения
annihilator,аннулятор
apocentre,апоцентр
approximation,приближение
arccosecant,арккосеканс
arccosine,арккосинус
arccotangent,арккотангенс
arcsecant,арксеканс
arcsine,арксинус
arctangent,арктангенс
arity,арность
as small as we please,сколь угодно малый
associative,ассоциативный
associative law,закон ассоциативности
associativity,ассоциативность
at ﬁrst glance,на первый взгляд
at ﬁrst sight,на первый взгляд
at least,по крайней мере
attractor,аттрактор
auto parallel line,автопараллельная кривая
axiom of choice,аксиома выбора
Banach algebra,банахова алгебра
Banach space,банахово пространство
base of ﬁbered correspondence,база расслоенного соответствия
base of topology,базис топологии
basis for vector space,базис в векторном пространстве; базис векторного пространства
basis of vector space,базис в векторном пространстве; базис векторного пространства
behavior,поведение
Bell’s theorem,теорема Белла
bijection,биекция
bimodule,бимодуль
binary,бинарный
Bott periodicity,периодичность Ботта
boundary,граница
boundary conditions,граничные условия
canonical map,каноническое отображение
Cartesian coordinate system,декартова система координат
Cartesian power,декартова степень
Cartesian product,декартово произведение
category,категория
Cauchy sequence,последовательность Коши
causal relationship,причинно-следственная связь
causal scalar ﬁeld,причинное скалярное поле
causal vector ﬁeld,причинное векторное поле
chain rule,правило дифференцирования сложной функции
change of coordinates,замена координат
change of variable,замена переменной
chaos,хаос
chart over U ,тривиализация над U
closure of the set,замыкание множества
closure operator,оператор замыкания
closure system,система замыканий
cluster point,точка прикосновения
coarsest topology,самая слабая топология
cofactor of matrix,алгебраическое дополнение матрицы
colloquia,коллоквиумы
colloquium,коллоквиум
column vector,вектор столбец
combinatorics,комбинаторика
commutative diagram,коммутативная диаграмма
commutativity,коммутативность
commutator,коммутатор
commute,коммутирует            
compact-open topology,компактно-открытая топология
comparable topology,сравнимые топологии
complete division ring,полное тело
complete ﬁeld,полное поле
complete lattice,полная структура
complete space,полное пространство
complete system,полная система
completely integrable,вполне интегрируемый
complex ﬁeld,поле комплексных чисел
componentwise,покомпонентно
conditions of integrability,условия интегрируемости
conformal transformation,конформное преобразование
congruence,конгруэнтность; согласованность
conjugate quaternion,сопряжённый кватернион
connected group,связная группа
connection coeﬃcients,коэффициенты связности
conservation law,закон сохранения
consider,рассматривать
convex function,выпуклая функция
coordinate chart,координатная карта
correlation,корреляция
correspondence from A to B,соответствие из A в B
cosecant,косеканс
cosine,косинус
cotangent,котангенс
countable set,счётное множество
counter,счётчик
covariant,ковариантный
cover,покрытие
covering space,накрытие
Cramer’s Rule,правило Крамера
creation operator,оператор рождения
crystal lattice,кристаллическая решётка
curve,кривая
curvilinear coordinates,криволинейные координаты
cycle,цикл
cyclic group,циклическая группа
D-vector space,D-векторное пространство
decomposition of map,разложение отображения
deﬁne,определяет
denominator,знаменатель
dependence,зависимость
derivative of second or greater order with respect,производная второго или более высокого порядка по
develop equation,вывести уравнение
diagram of correspondences,диаграмма соответствий
diﬀerence,разность
diﬀerence module,фактор модуль
diﬀerentiability,дифференцируемость
diﬀerentiable function,дифференцируемая функция
diﬀerentiable in the Fréchet sense,дифференцируемый по Фреше
diﬀerentiable in the Gâteaux sense,дифференцируемый по Гато
diﬀerentiate the function with respect to x,дифференцировать функцию по x
diﬀraction,дифракция
diﬀusion,диффузия
discrete space,дискретное пространство
discrete topology,дискретная топология
distributive law,закон дистрибутивности
distributive property of multiplication over addition,дистрибутивность умножения относительно сложения
division ring,тело (кольцо с делением)
domain,область определения
Doppler shift,эффект Доплера
downstairs,внизу
dual module,дуальный модуль
dual space,дуальное пространство
dynamics,динамика
eccentricity,эксцентриситет
eclipse,затмение
elementary particle,элементарная частица
emission of photon,излучение фотона
endomorphism,эндоморфиз
мenergy,энергия
engine,двигательenhanced,расширенный
entropy,энтропия
envelope of a family of plane curves,огибающая семейства плоских кривых
enveloping algebra,обвёртывающая алгебра
equation is satisﬁed identically,уравнение удовлетворяется тождественно
equivalence class,класс эквивалентности
equivalence relation,эквивалентность
Erlanger Program,Эрлангенская программа
essential parameters in a set of functions,существенные параметры семейства функций
Euclidean metric,эвклидова метрика
Euclidean space,эвклидово пространство
evaluating by equating x to the a,подстановка a вместо x
event horizon,горизонт событий
event space,пространство событий
evidence,очевидность
evidently,очевидно
exact sequence of modules,точная последовательность модулей
extension ﬁeld,расширение поля
extension of correspondence,продолжение соответствия
exterior diﬀerential,внешний дифференциал
exterior product,внешнее произведение
external algebra,внешняя алгебра
external power,внешняя степень
extremal,экстремальный
extreme,экстремальный
extreme line,экстремальная кривая
factor group,факторгруппа
factorization,разложение на множители
ﬁber,слой
ﬁbered correspondence,расслоенное соответствие
ﬁbered map,морфизм расслоений
ﬁbered product,расслоенное произведение
ﬁeld-strength tensor,тензор напряжённости поля
ﬁlter,фильтр
ﬁlter base,базис фильтра
ﬁnest topology,самая сильная топология
ﬁnite dimensional,конечномерный
ﬁnite set,конечное множество
Finsler metric,финслеровая метрика
Finslerian metric,финслеровая метрика
force,сила
the Fréchet derivative,производная Фреше
the Fréchet diﬀerential,дифференциал Фреше
free representation,свободное представление
frequency,частота
friction,сила трения; трение
function f of x,функция f от x
functional,функционал
functor,функтор
fundamental sequence,фундаментальная последовательность
G-principal bundle,главное G-расслоение
galaxy,галактика
the Gâteaux derivative,производная Гато
the Gâteaux diﬀerential,дифференциал Гато
gauge invariance,калибровочная инвариантность
